x,y
1927.1049,-1130.26
1920.6616,-1126.0007
1922.8998,-1133.3967
1911.2853,-1122.1119
1908.2931,-1122.441
1905.6847,-1123.2924
1904.6038,-1126.2391
1901.6056,-1126.5685
1900.639,-1129.7026
1898.1425,-1130.7356
1895.7709,-1131.9456
1900.3926,-1142.9493
1896.464,-1142.0219
1894.3252,-1143.607
1893.7096,-1147.3593
1890.5468,-1147.5089
1888.3995,-1149.1056
1884.8647,-1148.7142
1881.4646,-1148.5056
1879.0691,-1149.7432
1876.0526,-1150.0785
1872.4238,-1149.5123
1868.1947,-1148.0497
1865.0806,-1148.2095
1861.6097,-1147.8322
1859.9595,-1150.1515
1855.898,-1148.8768
1851.4972,-1147.0719
1848.4209,-1147.2394
1846.0587,-1148.481
1843.6969,-1149.7251
1840.6315,-1149.8954
1843.0973,-1158.553
1841.6707,-1161.2753
1838.2338,-1160.8973
1838.5719,-1166.3854
1835.9553,-1167.293
1832.2847,-1166.5435
1828.975,-1166.3486
1824.9786,-1165.0548
1816.6667,-1156.8678
1811.501,-1153.6321
1809.0436,-1154.7109
1806.6974,-1155.9714
1803.7957,-1156.335
1801.6699,-1157.9589
1799.6522,-1159.7676
1796.6422,-1159.9531
1797.4808,-1166.4949
1795.7811,-1168.8756
1792.648,-1168.8783
1794.5791,-1177.3672
1789.89,-1174.7725
1787.7377,-1176.4404
1785.5831,-1178.1123
1783.1,-1179.2302
1783.1196,-1184.65
1781.1724,-1186.7183
1778.5697,-1187.6609
1769.1147,-1176.6624
1765.8019,-1176.3044
1762.916,-1176.6857
1758.5776,-1174.4927
1755.8094,-1175.0599
1752.4275,-1174.5275
1749.259,-1174.3641
1746.8082,-1175.4843
1745.5756,-1178.8146
1742.1093,-1178.0996
1742.1848,-1183.8519
1741.0426,-1187.4113
1738.275,-1187.9921
1735.913,-1189.3226
1732.4475,-1188.5972
1729.3906,-1188.6216
1727.2311,-1190.3293
1724.279,-1190.5428
1721.4296,-1190.9448
1718.779,-1191.7224
1715.8381,-1191.9398
1710.2072,-1186.944
1708.5306,-1189.5802
1705.4203,-1189.4307
1693.1146,-1171.1866
1689.9828,-1170.8778
1687.1292,-1171.1096
1681.4197,-1165.6273
1678.4128,-1165.508
1674.0109,-1162.5598
1670.7644,-1161.9177
1668.5623,-1163.3923
1665.4985,-1163.105
1662.5269,-1162.9957
1660.6655,-1165.1804
1659.9075,-1169.6823
1656.932,-1169.5721
1657.7808,-1177.5206
1657.4385,-1183.0215
1654.6943,-1183.451
1656.1444,-1192.8755
1653.6395,-1193.8644
1650.8787,-1194.2996
1648.7152,-1196.0348
1645.9562,-1196.473
1642.3597,-1195.0582
1639.0277,-1194.2047
1635.9539,-1193.9084
1631.4961,-1190.4895
1628.9318,-1191.3011
1626.2876,-1191.9313
1622.3636,-1189.6322
1619.65,-1190.0814
1618.2052,-1193.4642
1615.3313,-1193.5499
1612.7751,-1194.3721
1617.2668,-1211.8112
1615.3157,-1214.1709
1611.2113,-1211.411
1607.1328,-1208.6697
1604.0109,-1208.1958
1598.2122,-1201.1989
1595.3528,-1201.2954
1593.1758,-1203.0635
1586.7504,-1194.3193
1583.8495,-1194.2415
1580.8081,-1193.8007
1578.207,-1194.4567
1575.6791,-1195.2971
1574.514,-1199.6251
1571.7646,-1199.921
1568.3802,-1198.5652
1563.4023,-1193.0248
1560.9573,-1194.0527
1558.8563,-1195.9938
1556.0657,-1196.1162
1553.551,-1196.9694
1552.9409,-1202.9606
1550.4155,-1203.8234
1547.8228,-1204.5037
1548.273,-1213.5579
1545.3926,-1213.498
1543.0542,-1214.9396
1541.4512,-1218.4572
1539.3053,-1220.4783
1536.3574,-1220.2329
1533.8104,-1221.1244
1530.7396,-1220.5048
1526.5776,-1216.6901
1524.1718,-1217.9583
1520.9373,-1216.7881
1517.7139,-1215.6233
1514.9998,-1215.958
1512.1642,-1215.9208
1509.4557,-1216.259
1506.3229,-1215.2925
1503.7428,-1216.0074
1501.1031,-1216.5377
1497.5139,-1214.0898
1494.179,-1212.3969
1491.5548,-1212.9308
1488.932,-1213.4667
1486.4823,-1214.5608
1483.5189,-1213.9882
1480.3934,-1212.864
1478.0594,-1214.3318
1475.3894,-1214.6918
1472.8865,-1215.6094
1470.2188,-1215.9731
1466.4717,-1212.6418
1463.6028,-1212.2725
1461.2158,-1213.5624
1456.0068,-1204.9696
1452.4049,-1201.9028
1449.3811,-1200.8341
1446.3168,-1199.5911
1443.8561,-1200.5061
1441.3453,-1201.244
1438.8347,-1201.9843
1436.3722,-1202.9066
1434.0049,-1204.1926
1431.4446,-1204.7595
1428.555,-1204.065
1425.9055,-1204.2745
1423.0275,-1203.5853
1419.2014,-1199.1392
1416.5272,-1199.1765
1414.2565,-1200.823
1410.6611,-1197.1216
1408.1747,-1197.876
1405.559,-1198.0994
1402.7323,-1197.4364
1400.1646,-1197.841
1398.0573,-1200.2039
1395.5701,-1200.9695
1393.3287,-1202.8093
1392.0667,-1208.9767
1389.8083,-1210.8418
1385.5747,-1203.8763
1381.5916,-1197.8873
1379.115,-1198.6606
1374.7368,-1190.6385
1371.6438,-1188.4453
1369.4108,-1190.2596
1365.791,-1185.4762
1363.023,-1184.6918
1360.2965,-1184.0831
1358.064,-1185.89
1355.5841,-1186.4923
1353.962,-1191.4363
1352.5675,-1197.6537
1349.556,-1195.6317
1348.5419,-1204.0245
1346.33,-1206.2529
1343.5131,-1205.2736
1342.1843,-1212.3582
1339.524,-1212.2712
1336.7375,-1211.4664
1334.531,-1213.9077
1332.0009,-1214.5491
1328.1384,-1207.4661
1325.6543,-1208.2849
1322.869,-1207.3206
1319.5914,-1203.344
1317.1459,-1204.3408
1314.1287,-1201.8022
1311.4623,-1201.389
1308.8275,-1201.1544
1305.3065,-1195.1466
1302.7452,-1195.269
1300.2115,-1195.5675
1297.4229,-1194.129
1294.8444,-1194.0837
1292.1941,-1193.5203
1289.6945,-1193.9991
1287.2664,-1195.0007
1284.53,-1193.7494
1282.0557,-1194.4071
1279.5349,-1194.7202
1276.9254,-1194.342
1274.4292,-1194.832
1271.9543,-1195.4977
1269.436,-1195.8186
1266.9805,-1196.6621
1264.789,-1199.7732
1262.4255,-1201.4994
1260.7943,-1209.7637
1259.3011,-1219.589
1256.7552,-1220.108
1254.2856,-1221.3529
1252.0204,-1224.6
1249.3171,-1223.6732
1246.53,-1221.8448
1243.9468,-1222.013
1241.2444,-1220.9176
1238.5991,-1220.3679
1236.2356,-1222.8916
1233.831,-1225.0635
1231.2626,-1225.4236
1228.7396,-1226.3317
1226.7211,-1233.4722
1224.3112,-1236.0566
1221.6642,-1235.6888
1219.2827,-1238.8422
1216.903,-1242.1996
1214.1444,-1240.3423
1211.5345,-1240.5377
1208.9252,-1240.7352
1206.128,-1237.9642
1203.5942,-1239.2783
1201.0449,-1240.4108
1198.3026,-1238.2053
1195.5314,-1235.2749
1193.0061,-1236.7751
1190.4847,-1238.4656
1187.9482,-1239.9764
1185.2118,-1237.2332
1182.8026,-1241.7115
1180.0764,-1238.9652
1177.5011,-1239.7433
1174.8892,-1239.5978
1172.1764,-1236.5026
1169.5864,-1236.7311
1166.9518,-1235.4908
1164.3031,-1233.5237
1161.8358,-1238.1663
1159.3059,-1240.9905
1156.7527,-1243.2711
1154.169,-1244.4434
1151.8278,-1259.968
1149.4464,-1277.276
1146.709,-1272.633
1143.8706,-1256.5293
1141.2532,-1258.1145
1138.6143,-1257.2303
1135.9673,-1253.1345
1133.3475,-1253.5833
1130.7267,-1253.8453
1128.1002,-1256.1904
1125.4707,-1257.2158
1122.8546,-1255.7789
1120.2057,-1258.7062
1117.5509,-1261.0758
1114.8708,-1264.6066
1112.2303,-1264.6936
1109.6558,-1261.1469
1107.0278,-1261.0475
1104.4097,-1260.5692
1101.8083,-1259.5227
1099.1509,-1260.7623
1096.4941,-1261.8154
1093.8871,-1261.1543
1091.2261,-1262.2115
1088.8926,-1253.9781
1086.2228,-1255.5936
1083.7201,-1252.8802
1080.9352,-1257.1378
1078.392,-1255.5525
1075.6976,-1257.3678
1072.847,-1262.2317
1070.1886,-1262.9238
1067.6997,-1260.3811
1065.0853,-1260.3153
1062.4717,-1260.2517
1059.9606,-1258.4851
1057.2345,-1260.3204
1054.415,-1263.4963
1051.9102,-1261.7267
1049.361,-1260.7234
1046.8296,-1259.5352
1044.2072,-1259.6755
1041.6271,-1259.2502
1039.5421,-1252.4371
1036.9055,-1252.9573
1034.1599,-1254.7913
1031.2012,-1259.0834
1028.4496,-1260.749
1025.5232,-1264.323
1022.64874,-1267.1531
1019.9208,-1268.2695
1017.6765,-1264.2269
1015.15375,-1263.2479
1012.57886,-1262.8422
1010.25494,-1259.9777
1007.57196,-1260.7124
1005.0853,-1259.5593
1002.38,-1260.486
999.504,-1262.9316
